                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3104,                 1.5479,                 1.4721,                0.47772,                0.45666,                 0.4124,                 0.2197,                 1.4333,                 1.8821,                 1.7741,             0.00041497,             0.00041497,             0.00041497
                      2,                 1.4083,                  1.395,                 1.5264,                0.48025,                0.52197,                0.46919,                0.24639,                  1.372,                 1.7376,                 1.7792,             0.00079871,             0.00079871,             0.00079871
                      3,                 1.4134,                 1.4136,                 1.5403,                0.55003,                0.44552,                0.47597,                0.27961,                 1.4035,                 1.5525,                 1.7796,              0.0011494,              0.0011494,              0.0011494
                      4,                 1.3623,                 1.3327,                 1.5005,                0.68367,                0.61228,                0.65961,                0.41162,                  1.201,                 1.2109,                 1.5673,              0.0011015,              0.0011015,              0.0011015
                      5,                 1.3355,                 1.2098,                   1.47,                0.61017,                0.66354,                0.66742,                0.45203,                 1.1196,                 1.1649,                 1.5096,              0.0011015,              0.0011015,              0.0011015
                      6,                 1.2917,                 1.1553,                 1.4334,                0.69938,                0.70699,                0.72961,                0.50474,                 1.0508,                  1.039,                 1.4558,               0.001052,               0.001052,               0.001052
                      7,                 1.2291,                 1.0728,                 1.3882,                0.77303,                0.65364,                0.73444,                0.52519,                0.98643,                0.91908,                 1.3883,              0.0010025,              0.0010025,              0.0010025
                      8,                 1.2188,                  1.026,                 1.3851,                0.73651,                0.74008,                 0.7635,                0.55672,                0.92299,                 0.8361,                 1.3132,               0.000953,               0.000953,               0.000953
                      9,                 1.1838,                0.98431,                 1.3689,                0.78627,                0.66972,                0.78165,                0.57086,                0.87621,                0.82971,                 1.2931,              0.0009035,              0.0009035,              0.0009035
                     10,                 1.1595,                0.96046,                 1.3537,                0.75563,                0.69622,                0.77097,                0.55966,                0.89392,                0.85769,                 1.2919,               0.000854,               0.000854,               0.000854
                     11,                 1.1501,                0.92834,                  1.337,                0.80576,                0.69373,                0.78525,                0.57182,                0.86176,                 0.8227,                 1.2753,              0.0008045,              0.0008045,              0.0008045
                     12,                 1.1528,                0.90245,                 1.3286,                0.80251,                0.76427,                0.80241,                0.59559,                0.86821,                0.74305,                 1.2624,               0.000755,               0.000755,               0.000755
                     13,                 1.1108,                 0.8531,                 1.3065,                0.81535,                0.78167,                0.80158,                 0.5766,                 0.8885,                0.72513,                 1.2987,              0.0007055,              0.0007055,              0.0007055
                     14,                 1.0858,                0.82669,                 1.2876,                0.80577,                0.78423,                0.83333,                0.61205,                0.82916,                0.70115,                 1.2243,               0.000656,               0.000656,               0.000656
                     15,                 1.0619,                0.78645,                  1.282,                0.78081,                0.81898,                0.83297,                0.63366,                0.79634,                0.68763,                    1.2,              0.0006065,              0.0006065,              0.0006065
                     16,                 1.0809,                0.69959,                 1.3218,                0.83991,                0.76915,                0.83978,                0.63559,                0.82401,                0.68583,                 1.2168,               0.000557,               0.000557,               0.000557
                     17,                 1.0408,                0.65727,                 1.3013,                 0.8424,                0.70278,                0.81203,                0.61652,                0.79623,                0.71082,                 1.2023,              0.0005075,              0.0005075,              0.0005075
                     18,                 1.0248,                0.63877,                 1.2859,                 0.7966,                0.74866,                 0.8031,                 0.6234,                0.77123,                0.69597,                 1.1747,               0.000458,               0.000458,               0.000458
                     19,                0.99742,                0.61531,                  1.256,                0.84886,                0.71123,                0.80793,                0.61122,                0.76081,                0.68617,                  1.196,              0.0004085,              0.0004085,              0.0004085
                     20,                0.97356,                 0.5837,                 1.2407,                0.84246,                0.75571,                0.83544,                0.65716,                0.73774,                0.63343,                 1.1465,               0.000359,               0.000359,               0.000359
                     21,                0.95781,                0.57027,                 1.2216,                0.85382,                0.74006,                0.84114,                0.65279,                 0.7697,                0.64275,                 1.1853,              0.0003095,              0.0003095,              0.0003095
                     22,                0.93091,                0.54466,                 1.2039,                0.85742,                0.74617,                0.84861,                0.66048,                0.75575,                0.62596,                 1.1668,                0.00026,                0.00026,                0.00026
                     23,                 0.8898,                0.51221,                 1.1851,                0.85738,                0.76635,                0.85118,                0.69021,                0.72428,                 0.6105,                 1.1362,              0.0002105,              0.0002105,              0.0002105
                     24,                0.87925,                0.50318,                 1.1731,                0.83235,                0.77539,                0.85063,                0.68129,                0.72507,                0.58205,                 1.1413,               0.000161,               0.000161,               0.000161
                     25,                0.87699,                0.49144,                 1.1664,                0.87633,                0.75293,                0.83919,                0.66297,                 0.7366,                0.59203,                 1.1402,              0.0001115,              0.0001115,              0.0001115
